,EarningsDate,Symbol,After/Before Market,Market_Cap,UnixDate,day1gainloss,day2gainloss,day3gainloss,day4gainloss,day5gainloss,day6gainloss,day7gainloss,day1spread,day2spread,day3spread,day4spread,day5spread,day6spread,day7spread,30dayvolume,day1prop,day2prop,day3prop,day4prop,day5prop,day6prop,day7prop
20,6/4/2020,TTC,bmo,2930,1591228800,-0.38999939,0.510002136,0.5,-1.760002136,1.629997253,-0.799995422,1.879997253,2.510002136,1.089996338,1.150001526,1.880004883,2.099998474,2.579994202,1.979995728,22708755,0.038112746,0.031796855,0.022007723,0.045027479,0.044573117,0.031385472,0.034231071
21,6/4/2020,SAIC,amc,2150,1591228800,-0.769996643,-1.63999939,1.63999939,1.88999939,0.160003662,-0.550003052,-0.739997864,1.839996338,2.510002136,2,3.059997559,2.13999939,1.340003967,3.150001526,18375414,0.041195371,0.028754237,0.027266977,0.03194709,0.026117289,0.040066363,0.035596477
22,6/4/2020,GPS,amc,2060,1591228800,0.869999886,0.909999847,0.519999504,0.510000229,-0.490000725,-1.210000038,1.059999466,0.929999352,1.120000839,0.859999657,0.899999619,0.630000114,1.279999733,1.220000267,426884528,0.053856588,0.04781545,0.037356582,0.047153557,0.062888079,0.033832465,0.050032631
23,6/4/2020,NAV,bmo,1960,1591228800,2.840000153,0.38999939,-0.689998627,-1.030000687,0.129999161,-1.789999008,-0.010000229,2.959999084,2.005001068,0.920000076,1.204999924,1.550001144,2.029998779,1.079999924,21410521,0.091506461,0.054337772,0.050654723,0.038623021,0.058698572,0.030764968,0.054966808
24,6/4/2020,CMD,bmo,1910,1591228800,0.770000458,2,-1.319999695,1.189998627,-0.409999847,1.809997559,3.379997253,4.919998169,2.059997559,2.270000458,1.659999847,2.240001678,3.140003204,4.319999695,31666779,0.045894721,0.024944564,0.018039883,0.012799881,0.0221223,0.040516783,0.033793522
25,6/4/2020,PD,amc,1850,1591228800,-1.100000381,0.11000061,-0.709999084,0.559999466,1.199998856,0.199998856,-1.600000381,2.439998627,0.840000153,1.510000229,1.840000153,1.430000305,1.199998856,2.850000381,33868752,0.091129753,0.060763591,0.043530095,0.071145373,0.040743426,0.050477768,0.067984643
26,6/4/2020,BRMSY,amc,1630,1591228800,0.27,0,0,-0.03,0,0,0,0.27,0,0,0.03,0,0,0,343300,0.00699097,0,0,0.000582581,0,0,0
27,6/4/2020,YEXT,amc,1130,1591228800,-0.61000061,0.759998322,-0.38999939,0.849999428,0.590000153,-1,0.879999161,1.859998703,0.909999847,0.850000381,0.999999046,0.774999619,1.120000839,1.359999657,27282054,0.093637781,0.049523727,0.031295041,0.048616684,0.035091419,0.034478636,0.047645313
28,6/4/2020,LX,bmo,1060,1591228800,-0.909999847,0.210000038,-0.309999466,0.390000343,0.109999657,-0.239999771,-0.220000267,1.300000191,0.400000572,0.380000114,0.460000038,0.388799667,0.450000286,0.594999313,39676605,0.098811378,0.040625603,0.037925901,0.013530921,0.019246329,0.031509677,0.024144682
29,6/4/2020,GHG,amc,925.68,1591228800,-0.479999542,0.640000343,-0.819999695,1.019999504,0.370000839,-0.170000076,0.170000076,1.11000061,1.170000076,1.649999619,1.570000648,1.479999542,0.359999657,0.229999542,3359070,0.052915241,0.045301825,0.062695032,0.095182595,0.186033337,0.022503252,0.026072395
30,6/4/2020,MIK,bmo,901.18,1591228800,0.489999771,0.079999924,0.059999943,0.2900002,0.24000001,-0.414999962,0.519999981,1.090000153,0.440000057,0.290000439,0.430000067,0.420000076,0.550000191,0.630000114,142787054,0.089102476,0.04228342,0.040843605,0.036241304,0.023986803,0.033622369,0.064975372
31,6/4/2020,SCWX,bmo,823.6,1591228800,-3.279999733,0.489999771,0.079999924,0.300000191,0.569999695,-0.289999962,-0.179999352,3.519999504,0.559999466,0.930000305,0.817200661,1.200000763,0.960000038,1.88999939,4044242,0.117362166,0.078822434,0.071811479,0.033050198,0.030546392,0.026087954,0.032736666
32,6/4/2020,DOMO,amc,544.23,1591228800,-1.930000305,2.539999008,-0.569999695,2.760000229,1.079999924,-0.600000381,-0.36000061,2.429998398,2.850000381,1.560001373,3.479999542,1.300001144,1.409999847,1.779998779,24026863,0.049126139,0.034761883,0.026657121,0.044850216,0.027422889,0.021828692,0.026467958
